file_name,enabled_state,category,version_from_filename,evidence_status,production_note
physics-mod-pro-v171i-fabric-1.20.1.jar.disabled,disabled,physics_visuals,v171i,user_reported_disabled,Keep disabled during baseline and destructive mechanics tests.
PresenceFootsteps-1.10.1+1.20.1.jar,enabled,sound,1.10.1,user_reported_present,Footstep audio; isolated OBS passes remain preferred.
removeblockoutline-1.1.2-1.20.1.jar,enabled,capture_ui,1.1.2,user_reported_present,Capture cleanliness.
replaymod-1.20.1-2.6.23.jar,enabled,replay_camera,2.6.23,user_reported_present,Primary replay/camera candidate; portal/dimension recording untested.
skinlayers3d-fabric-1.11.2-mc1.20.1.jar,enabled,skin_visuals,1.11.2,user_reported_present,3D skin layers.
sodium-extra-0.5.9+mc1.20.1.jar,enabled,performance_options,0.5.9,user_reported_present,Optional performance/config layer.
sodium-fabric-0.5.13+mc1.20.1.jar,enabled,performance,0.5.13,user_reported_present,Current renderer optimisation candidate.
sound_physics_perfected-1.17.3+1.20.1-fabric.jar,enabled,sound,1.17.3,user_reported_present,Spatial acoustics; capture in isolated passes and test portal/dimension behaviour.
soundcontroller-1.2.3-mc1.20.jar,enabled,sound_control,1.2.3,user_reported_present,Sound-category control.
sushi_bar-0.2.2+1.20.jar,enabled,props_food,0.2.2,user_reported_present,Set-dressing prop mod.
tectonic-3.0.17-fabric-1.20.1.jar,enabled,worldgen,3.0.17,user_reported_present,Primary large-scale terrain candidate; freeze before scouting/final R0 generation.
visuality-0.7.1+1.20.jar,enabled,particles_visuals,0.7.1,user_reported_present,Cosmetic visual layer.
wakes-0.4.0+1.20.1.jar,enabled,water_visuals,0.4.0,user_reported_present,Water wake visuals.
wildlife-1.20.1-2.2.jar,enabled,wildlife,2.2,user_reported_present,Living-world layer; actor density and replay impact untested.
WWOO-FABRIC+FORGE+QUILT-2.0.0.jar,enabled,worldgen,2.0.0,user_reported_present,Overworld world-generation candidate; freeze exact config before R0 selection.
yet_another_config_lib_v3-3.6.6+1.20.1-fabric.jar,enabled,library,3.6.6,user_reported_present,Configuration library.
